Vbias36b:p (temp=-4.00e+01) X,Vbias36b:p (temp=-4.00e+01) Y,Vbias36b:p (temp=-3.50e+01) X,Vbias36b:p (temp=-3.50e+01) Y,Vbias36b:p (temp=-3.00e+01) X,Vbias36b:p (temp=-3.00e+01) Y,Vbias36b:p (temp=-2.50e+01) X,Vbias36b:p (temp=-2.50e+01) Y,Vbias36b:p (temp=-2.00e+01) X,Vbias36b:p (temp=-2.00e+01) Y,Vbias36b:p (temp=-1.50e+01) X,Vbias36b:p (temp=-1.50e+01) Y,Vbias36b:p (temp=-1.00e+01) X,Vbias36b:p (temp=-1.00e+01) Y,Vbias36b:p (temp=-5.00e+00) X,Vbias36b:p (temp=-5.00e+00) Y,Vbias36b:p (temp=0.00e+00) X,Vbias36b:p (temp=0.00e+00) Y,Vbias36b:p (temp=5.00e+00) X,Vbias36b:p (temp=5.00e+00) Y,Vbias36b:p (temp=1.00e+01) X,Vbias36b:p (temp=1.00e+01) Y,Vbias36b:p (temp=1.50e+01) X,Vbias36b:p (temp=1.50e+01) Y,Vbias36b:p (temp=2.00e+01) X,Vbias36b:p (temp=2.00e+01) Y,Vbias36b:p (temp=2.50e+01) X,Vbias36b:p (temp=2.50e+01) Y,Vbias36b:p (temp=3.00e+01) X,Vbias36b:p (temp=3.00e+01) Y,Vbias36b:p (temp=3.50e+01) X,Vbias36b:p (temp=3.50e+01) Y,Vbias36b:p (temp=4.00e+01) X,Vbias36b:p (temp=4.00e+01) Y,Vbias36b:p (temp=4.50e+01) X,Vbias36b:p (temp=4.50e+01) Y,Vbias36b:p (temp=5.00e+01) X,Vbias36b:p (temp=5.00e+01) Y,Vbias36b:p (temp=5.50e+01) X,Vbias36b:p (temp=5.50e+01) Y,Vbias36b:p (temp=6.00e+01) X,Vbias36b:p (temp=6.00e+01) Y,Vbias36b:p (temp=6.50e+01) X,Vbias36b:p (temp=6.50e+01) Y,Vbias36b:p (temp=7.00e+01) X,Vbias36b:p (temp=7.00e+01) Y,Vbias36b:p (temp=7.50e+01) X,Vbias36b:p (temp=7.50e+01) Y,Vbias36b:p (temp=8.00e+01) X,Vbias36b:p (temp=8.00e+01) Y,Vbias36b:p (temp=8.50e+01) X,Vbias36b:p (temp=8.50e+01) Y
0.9,-1.016386050234744e-05,0.9,-1.015223555369643e-05,0.9,-1.014079765087888e-05,0.9,-1.012958176822765e-05,0.9,-1.011861160881842e-05,0.9,-1.010782422467103e-05,0.9,-1.009739815175413e-05,0.9,-1.008724727008325e-05,0.9,-1.00773697773438e-05,0.9,-1.00677632560283e-05,0.9,-1.005842231911062e-05,0.9,-1.00493421876256e-05,0.9,-1.004051816059059e-05,0.9,-1.003193880379355e-05,0.9,-1.002359888026384e-05,0.9,-1.00154889039992e-05,0.9,-1.000760193772004e-05,0.9,-9.999926545953313e-06,0.9,-9.992456519754428e-06,0.9,-9.985182156587191e-06,0.9,-9.978095703827167e-06,0.9,-9.971188179782159e-06,0.9,-9.964452329000542e-06,0.9,-9.957879736314127e-06,0.9,-9.951463053101708e-06,0.9,-9.945194610761012e-06
0.9500000000000001,-1.036521091041251e-05,0.9500000000000001,-1.035460210703644e-05,0.9500000000000001,-1.034422538245957e-05,0.9500000000000001,-1.033411394980673e-05,0.9500000000000001,-1.032428962947452e-05,0.9500000000000001,-1.031476572132416e-05,0.9500000000000001,-1.030554905348684e-05,0.9500000000000001,-1.029664169147381e-05,0.9500000000000001,-1.028804206181567e-05,0.9500000000000001,-1.027974588911237e-05,0.9500000000000001,-1.027174689974423e-05,0.9500000000000001,-1.026403736109166e-05,0.9500000000000001,-1.025660849902787e-05,0.9500000000000001,-1.02494508233753e-05,0.9500000000000001,-1.024255437297843e-05,0.9500000000000001,-1.023590891343895e-05,0.9500000000000001,-1.022950408434283e-05,0.9500000000000001,-1.022332951752774e-05,0.9500000000000001,-1.021737492207934e-05,0.9500000000000001,-1.021163015524532e-05,0.9500000000000001,-1.020608527131713e-05,0.9500000000000001,-1.02007305606614e-05,0.9500000000000001,-1.019555657607162e-05,0.9500000000000001,-1.019055415313271e-05,0.9500000000000001,-1.018571442221232e-05,0.9500000000000001,-1.018102881671639e-05
1,-1.054792191801446e-05,1,-1.05382818494018e-05,1,-1.052891971705399e-05,1,-1.051986645831135e-05,1,-1.051114167530199e-05,1,-1.050275647276429e-05,1,-1.049471557565862e-05,1,-1.048701892335682e-05,1,-1.047966287887486e-05,1,-1.047264115168726e-05,1,-1.046594550548995e-05,1,-1.045956630309711e-05,1,-1.045349292707782e-05,1,-1.044771410497101e-05,1,-1.044221816081173e-05,1,-1.043699320946435e-05,1,-1.043202730638792e-05,1,-1.042730856254382e-05,1,-1.042282523196831e-05,1,-1.04185657778531e-05,1,-1.041451892171182e-05,1,-1.041067367921859e-05,1,-1.040701938554253e-05,1,-1.040354571241525e-05,1,-1.040024267869805e-05,1,-1.03971006558549e-05
1.05,-1.071547578893947e-05,1.05,-1.070675526543659e-05,1.05,-1.06983584897914e-05,1.05,-1.069031377218335e-05,1.05,-1.068263828038675e-05,1.05,-1.067534082447224e-05,1.05,-1.06684239430685e-05,1.05,-1.06618854794649e-05,1.05,-1.065571978055509e-05,1.05,-1.064991861399132e-05,1.05,-1.064447187285221e-05,1.05,-1.063936811878419e-05,1.05,-1.063459500148782e-05,1.05,-1.063013958296421e-05,1.05,-1.062598858801659e-05,1.05,-1.062212859739822e-05,1.05,-1.061854619618184e-05,1.05,-1.061522808706655e-05,1.05,-1.061216117616021e-05,1.05,-1.060933263712009e-05,1.05,-1.060672995826036e-05,1.05,-1.060434097625047e-05,1.05,-1.060215389926161e-05,1.05,-1.060015732182712e-05,1.05,-1.059834023320638e-05,1.05,-1.059669202068226e-05
1.1,-1.087046177103894e-05,1.1,-1.086261379578933e-05,1.1,-1.085513480529547e-05,1.1,-1.084805023958824e-05,1.1,-1.084137469231757e-05,1.1,-1.083511461498738e-05,1.1,-1.082927035146639e-05,1.1,-1.082383768064071e-05,1.1,-1.081880899359653e-05,1.1,-1.081417419646381e-05,1.1,-1.080992140549709e-05,1.1,-1.08060374835956e-05,1.1,-1.080250845500625e-05,1.1,-1.079931982589802e-05,1.1,-1.079645683185091e-05,1.1,-1.079390462836237e-05,1.1,-1.079164843677879e-05,1.1,-1.078967365526473e-05,1.1,-1.078796594229809e-05,1.1,-1.078651127854552e-05,1.1,-1.078529601172105e-05,1.1,-1.078430688805291e-05,1.1,-1.078353107322328e-05,1.1,-1.078295616505455e-05,1.1,-1.078257019974457e-05,1.1,-1.078236165308596e-05
1.15,-1.101487476582417e-05,1.15,-1.100785590853813e-05,1.15,-1.100125037786345e-05,1.15,-1.09950805770538e-05,1.15,-1.098935843822123e-05,1.15,-1.098408802527432e-05,1.15,-1.097926750097145e-05,1.15,-1.097489062426415e-05,1.15,-1.09709478967563e-05,1.15,-1.096742744447109e-05,1.15,-1.096431569824468e-05,1.15,-1.096159791979571e-05,1.15,-1.095925860878018e-05,1.15,-1.095728181757062e-05,1.15,-1.095565139416875e-05,1.15,-1.09543511689386e-05,1.15,-1.095336509729301e-05,1.15,-1.095267736776791e-05,1.15,-1.095227248285887e-05,1.15,-1.095213531840295e-05,1.15,-1.095225116606548e-05,1.15,-1.095260576253026e-05,1.15,-1.095318530824533e-05,1.15,-1.095397647799104e-05,1.15,-1.095496642506866e-05,1.15,-1.095614278054707e-05
1.2,-1.115028113710181e-05,1.2,-1.114405186589534e-05,1.2,-1.113827918512375e-05,1.2,-1.113298234957126e-05,1.2,-1.112817057899178e-05,1.2,-1.112384554392739e-05,1.2,-1.112000325324256e-05,1.2,-1.111663549696274e-05,1.2,-1.111373095500776e-05,1.2,-1.111127605255994e-05,1.2,-1.11092556217411e-05,1.2,-1.110765341419262e-05,1.2,-1.110645249820807e-05,1.2,-1.11056355660268e-05,1.2,-1.110518517093204e-05,1.2,-1.110508390931568e-05,1.2,-1.11053145594888e-05,1.2,-1.110586018643033e-05,1.2,-1.110670421968657e-05,1.2,-1.110783051009631e-05,1.2,-1.11092233698267e-05,1.2,-1.111086759927298e-05,1.2,-1.111274850364221e-05,1.2,-1.111485190146695e-05,1.2,-1.111716412683645e-05,1.2,-1.111967202677253e-05
1.25,-1.127793135643702e-05,1.25,-1.127245590987325e-05,1.25,-1.126747914630591e-05,1.25,-1.1263017100551e-05,1.25,-1.125907625512648e-05,1.25,-1.125565589704472e-05,1.25,-1.125274991661826e-05,1.25,-1.125034818868605e-05,1.25,-1.124843763815385e-05,1.25,-1.124700306477359e-05,1.25,-1.124602778290859e-05,1.25,-1.124549411820422e-05,1.25,-1.124538379297794e-05,1.25,-1.124567822467584e-05,1.25,-1.124635875616277e-05,1.25,-1.124740683240575e-05,1.25,-1.124880413490731e-05,1.25,-1.125053268279278e-05,1.25,-1.125257490756042e-05,1.25,-1.125491370703083e-05,1.25,-1.125753248288489e-05,1.25,-1.126041516527647e-05,1.25,-1.126354622729596e-05,1.25,-1.126691069149852e-05,1.25,-1.127049413026474e-05,1.25,-1.127428266140566e-05
1.3,-1.139883980791851e-05,1.3,-1.139408551675634e-05,1.3,-1.138987088245722e-05,1.3,-1.138620866207429e-05,1.3,-1.138310257993364e-05,1.3,-1.138054954709602e-05,1.3,-1.137854136472959e-05,1.3,-1.137706603833898e-05,1.3,-1.13761087958073e-05,1.3,-1.137565287816013e-05,1.3,-1.137568015470567e-05,1.3,-1.137617160165637e-05,1.3,-1.137710767410079e-05,1.3,-1.137846859431772e-05,1.3,-1.138023457425156e-05,1.3,-1.138238598604373e-05,1.3,-1.138490349150943e-05,1.3,-1.138776813913263e-05,1.3,-1.139096143535604e-05,1.3,-1.139446539553841e-05,1.3,-1.139826257885157e-05,1.3,-1.140233611052194e-05,1.3,-1.140666969413381e-05,1.3,-1.141124761616868e-05,1.3,-1.141605474451692e-05,1.3,-1.142107652235492e-05
1.35,-1.151386040328065e-05,1.35,-1.15097972963243e-05,1.35,-1.150631368317081e-05,1.35,-1.15034190430043e-05,1.35,-1.150111436507376e-05,1.35,-1.149939422442832e-05,1.35,-1.149824838481091e-05,1.35,-1.149766304196549e-05,1.35,-1.149762179116681e-05,1.35,-1.149810638168709e-05,1.35,-1.149909730560953e-05,1.35,-1.1500574257157e-05,1.35,-1.150251649035813e-05,1.35,-1.150490309660703e-05,1.35,-1.150771321892249e-05,1.35,-1.15109262160867e-05,1.35,-1.151452178704275e-05,1.35,-1.151848006376369e-05,1.35,-1.152278167911263e-05,1.35,-1.152740781488144e-05,1.35,-1.153234023415208e-05,1.35,-1.153756130129039e-05,1.35,-1.154305399222452e-05,1.35,-1.154880189713407e-05,1.35,-1.155478921725368e-05,1.35,-1.156100075715906e-05
