Vbat ,Vbias36b:p (temp=-4.00e+01) (A),Vbias36b:p (temp=-3.50e+01) (A),Vbias36b:p (temp=-3.00e+01) (A),Vbias36b:p (temp=-2.50e+01) (A),Vbias36b:p (temp=-2.00e+01) (A),Vbias36b:p (temp=-1.50e+01) (A),Vbias36b:p (temp=-1.00e+01) (A),Vbias36b:p (temp=-5.00e+00) (A),Vbias36b:p (temp=0.00e+00) (A),Vbias36b:p (temp=5.00e+00) (A),Vbias36b:p (temp=1.00e+01) (A),Vbias36b:p (temp=1.50e+01) (A),Vbias36b:p (temp=2.00e+01) (A),Vbias36b:p (temp=2.50e+01) (A),Vbias36b:p (temp=3.00e+01) (A),Vbias36b:p (temp=3.50e+01) (A),Vbias36b:p (temp=4.00e+01) (A),Vbias36b:p (temp=4.50e+01) (A),Vbias36b:p (temp=5.00e+01) (A),Vbias36b:p (temp=5.50e+01) (A),Vbias36b:p (temp=6.00e+01) (A),Vbias36b:p (temp=6.50e+01) (A),Vbias36b:p (temp=7.00e+01) (A),Vbias36b:p (temp=7.50e+01) (A),Vbias36b:p (temp=8.00e+01) (A),Vbias36b:p (temp=8.50e+01) (A)
900.0E-3,-11.22E-6,-11.17E-6,-11.11E-6,-11.06E-6,-11.01E-6,-10.96E-6,-10.91E-6,-10.86E-6,-10.81E-6,-10.76E-6,-10.72E-6,-10.67E-6,-10.63E-6,-10.59E-6,-10.54E-6,-10.50E-6,-10.46E-6,-10.42E-6,-10.38E-6,-10.34E-6,-10.30E-6,-10.26E-6,-10.23E-6,-10.19E-6,-10.15E-6,-10.12E-6
950.0E-3,-11.66E-6,-11.60E-6,-11.55E-6,-11.49E-6,-11.44E-6,-11.39E-6,-11.34E-6,-11.29E-6,-11.24E-6,-11.19E-6,-11.14E-6,-11.10E-6,-11.05E-6,-11.01E-6,-10.96E-6,-10.92E-6,-10.88E-6,-10.84E-6,-10.80E-6,-10.76E-6,-10.72E-6,-10.68E-6,-10.64E-6,-10.60E-6,-10.57E-6,-10.53E-6
1.000,-12.08E-6,-12.02E-6,-11.97E-6,-11.91E-6,-11.85E-6,-11.80E-6,-11.75E-6,-11.70E-6,-11.65E-6,-11.60E-6,-11.55E-6,-11.50E-6,-11.46E-6,-11.41E-6,-11.37E-6,-11.32E-6,-11.28E-6,-11.24E-6,-11.20E-6,-11.16E-6,-11.12E-6,-11.08E-6,-11.04E-6,-11.00E-6,-10.96E-6,-10.92E-6
1.050,-12.50E-6,-12.43E-6,-12.37E-6,-12.31E-6,-12.26E-6,-12.20E-6,-12.15E-6,-12.09E-6,-12.04E-6,-11.99E-6,-11.94E-6,-11.90E-6,-11.85E-6,-11.80E-6,-11.76E-6,-11.71E-6,-11.67E-6,-11.63E-6,-11.58E-6,-11.54E-6,-11.50E-6,-11.46E-6,-11.42E-6,-11.38E-6,-11.34E-6,-11.31E-6
1.100,-12.90E-6,-12.83E-6,-12.77E-6,-12.71E-6,-12.65E-6,-12.59E-6,-12.54E-6,-12.48E-6,-12.43E-6,-12.38E-6,-12.33E-6,-12.28E-6,-12.23E-6,-12.18E-6,-12.14E-6,-12.09E-6,-12.05E-6,-12.00E-6,-11.96E-6,-11.92E-6,-11.88E-6,-11.84E-6,-11.80E-6,-11.76E-6,-11.72E-6,-11.68E-6
1.150,-13.29E-6,-13.23E-6,-13.16E-6,-13.10E-6,-13.04E-6,-12.98E-6,-12.92E-6,-12.87E-6,-12.81E-6,-12.76E-6,-12.71E-6,-12.66E-6,-12.61E-6,-12.56E-6,-12.51E-6,-12.46E-6,-12.42E-6,-12.37E-6,-12.33E-6,-12.29E-6,-12.25E-6,-12.20E-6,-12.16E-6,-12.12E-6,-12.08E-6,-12.04E-6
1.200,-13.68E-6,-13.61E-6,-13.55E-6,-13.48E-6,-13.42E-6,-13.36E-6,-13.30E-6,-13.24E-6,-13.19E-6,-13.13E-6,-13.08E-6,-13.03E-6,-12.98E-6,-12.93E-6,-12.88E-6,-12.83E-6,-12.78E-6,-12.74E-6,-12.69E-6,-12.65E-6,-12.61E-6,-12.57E-6,-12.52E-6,-12.48E-6,-12.44E-6,-12.40E-6
1.250,-14.07E-6,-14.00E-6,-13.93E-6,-13.86E-6,-13.80E-6,-13.74E-6,-13.68E-6,-13.62E-6,-13.56E-6,-13.50E-6,-13.45E-6,-13.39E-6,-13.34E-6,-13.29E-6,-13.24E-6,-13.19E-6,-13.15E-6,-13.10E-6,-13.05E-6,-13.01E-6,-12.97E-6,-12.92E-6,-12.88E-6,-12.84E-6,-12.80E-6,-12.76E-6
1.300,-14.46E-6,-14.38E-6,-14.31E-6,-14.24E-6,-14.18E-6,-14.11E-6,-14.05E-6,-13.99E-6,-13.93E-6,-13.87E-6,-13.81E-6,-13.76E-6,-13.71E-6,-13.65E-6,-13.60E-6,-13.55E-6,-13.51E-6,-13.46E-6,-13.41E-6,-13.37E-6,-13.32E-6,-13.28E-6,-13.23E-6,-13.19E-6,-13.15E-6,-13.11E-6
1.350,-14.84E-6,-14.77E-6,-14.69E-6,-14.62E-6,-14.55E-6,-14.48E-6,-14.42E-6,-14.36E-6,-14.30E-6,-14.24E-6,-14.18E-6,-14.12E-6,-14.07E-6,-14.01E-6,-13.96E-6,-13.91E-6,-13.86E-6,-13.81E-6,-13.77E-6,-13.72E-6,-13.67E-6,-13.63E-6,-13.59E-6,-13.54E-6,-13.50E-6,-13.46E-6
1.400,-15.23E-6,-15.15E-6,-15.07E-6,-15.00E-6,-14.93E-6,-14.86E-6,-14.79E-6,-14.72E-6,-14.66E-6,-14.60E-6,-14.54E-6,-14.48E-6,-14.43E-6,-14.37E-6,-14.32E-6,-14.27E-6,-14.22E-6,-14.17E-6,-14.12E-6,-14.07E-6,-14.02E-6,-13.98E-6,-13.93E-6,-13.89E-6,-13.85E-6,-13.81E-6
