temp (C),Vref (Vbat=9.00e-01) (V),Vref (Vbat=1.60e+00) (V)
-40.00,899.1E-3,1.593
-35.00,898.9E-3,1.593
-30.00,898.7E-3,1.592
-25.00,898.5E-3,1.591
-20.00,898.3E-3,1.591
-15.00,898.1E-3,1.590
-10.00,897.8E-3,1.589
-5.000,897.6E-3,1.589
0.000,897.3E-3,1.588
5.000,897.0E-3,1.587
10.00,896.7E-3,1.586
15.00,896.3E-3,1.585
20.00,896.0E-3,1.584
25.00,895.6E-3,1.583
30.00,895.2E-3,1.582
35.00,894.7E-3,1.581
40.00,894.3E-3,1.580
45.00,893.8E-3,1.579
50.00,893.3E-3,1.578
55.00,892.8E-3,1.577
60.00,892.2E-3,1.576
65.00,891.7E-3,1.574
70.00,891.1E-3,1.573
75.00,890.4E-3,1.572
80.00,889.8E-3,1.570
85.00,889.1E-3,1.569
