Vbias36b:p (temp=-4.00e+01) X,Vbias36b:p (temp=-4.00e+01) Y,Vbias36b:p (temp=-3.50e+01) X,Vbias36b:p (temp=-3.50e+01) Y,Vbias36b:p (temp=-3.00e+01) X,Vbias36b:p (temp=-3.00e+01) Y,Vbias36b:p (temp=-2.50e+01) X,Vbias36b:p (temp=-2.50e+01) Y,Vbias36b:p (temp=-2.00e+01) X,Vbias36b:p (temp=-2.00e+01) Y,Vbias36b:p (temp=-1.50e+01) X,Vbias36b:p (temp=-1.50e+01) Y,Vbias36b:p (temp=-1.00e+01) X,Vbias36b:p (temp=-1.00e+01) Y,Vbias36b:p (temp=-5.00e+00) X,Vbias36b:p (temp=-5.00e+00) Y,Vbias36b:p (temp=0.00e+00) X,Vbias36b:p (temp=0.00e+00) Y,Vbias36b:p (temp=5.00e+00) X,Vbias36b:p (temp=5.00e+00) Y,Vbias36b:p (temp=1.00e+01) X,Vbias36b:p (temp=1.00e+01) Y,Vbias36b:p (temp=1.50e+01) X,Vbias36b:p (temp=1.50e+01) Y,Vbias36b:p (temp=2.00e+01) X,Vbias36b:p (temp=2.00e+01) Y,Vbias36b:p (temp=2.50e+01) X,Vbias36b:p (temp=2.50e+01) Y,Vbias36b:p (temp=3.00e+01) X,Vbias36b:p (temp=3.00e+01) Y,Vbias36b:p (temp=3.50e+01) X,Vbias36b:p (temp=3.50e+01) Y,Vbias36b:p (temp=4.00e+01) X,Vbias36b:p (temp=4.00e+01) Y,Vbias36b:p (temp=4.50e+01) X,Vbias36b:p (temp=4.50e+01) Y,Vbias36b:p (temp=5.00e+01) X,Vbias36b:p (temp=5.00e+01) Y,Vbias36b:p (temp=5.50e+01) X,Vbias36b:p (temp=5.50e+01) Y,Vbias36b:p (temp=6.00e+01) X,Vbias36b:p (temp=6.00e+01) Y,Vbias36b:p (temp=6.50e+01) X,Vbias36b:p (temp=6.50e+01) Y,Vbias36b:p (temp=7.00e+01) X,Vbias36b:p (temp=7.00e+01) Y,Vbias36b:p (temp=7.50e+01) X,Vbias36b:p (temp=7.50e+01) Y,Vbias36b:p (temp=8.00e+01) X,Vbias36b:p (temp=8.00e+01) Y,Vbias36b:p (temp=8.50e+01) X,Vbias36b:p (temp=8.50e+01) Y
0.9,-0.0002586526027281992,0.9,-0.0002578848527824657,0.9,-0.0002570527145299679,0.9,-0.00025616068306187,0.9,-0.0002552128593115174,0.9,-0.000254213012767106,0.9,-0.0002531646293157917,0.9,-0.0002520709488134192,0.9,-0.0002509349952555467,0.9,-0.0002497596014354576,0.9,-0.0002485474293773065,0.9,-0.0002473009874569041,0.9,-0.0002460226448775371,0.9,-0.000244714644002865,0.9,-0.0002433791109338609,0.9,-0.0002420180646341267,0.9,-0.0002406334248470994,0.9,-0.0002392270190025639,0.9,-0.0002378005882743169,0.9,-0.0002363557929226865,0.9,-0.0002348942170330523,0.9,-0.0002334173727431553,0.9,-0.0002319267040368674,0.9,-0.0002304235901695625,0.9,-0.0002289093487797571,0.9,-0.0002273852387329251
0.9500000000000001,-0.0002800525667172339,0.9500000000000001,-0.0002792549277818773,0.9500000000000001,-0.0002783903534911858,0.9500000000000001,-0.0002774632249278735,0.9500000000000001,-0.00027647752096866,0.9500000000000001,-0.0002754368900198156,0.9500000000000001,-0.0002743447037384137,0.9500000000000001,-0.0002732040984843697,0.9500000000000001,-0.0002720180080328791,0.9500000000000001,-0.00027078918982865,0.9500000000000001,-0.0002695202463236696,0.9500000000000001,-0.0002682136424824255,0.9500000000000001,-0.0002668717202438167,0.9500000000000001,-0.0002654967105324262,0.9500000000000001,-0.0002640907432761844,0.9500000000000001,-0.0002626558557908078,0.9500000000000001,-0.0002611939998204094,0.9500000000000001,-0.0002597070474699629,0.9500000000000001,-0.0002581967962236532,0.9500000000000001,-0.0002566649732099937,0.9500000000000001,-0.0002551132388477776,0.9500000000000001,-0.0002535431899847946,0.9500000000000001,-0.0002519563626228247,0.9500000000000001,-0.0002503542343069016,0.9500000000000001,-0.0002487382262437074,0.9500000000000001,-0.0002471097052028155
1,-0.0003002996890940211,1,-0.0002994902084745731,1,-0.0002986125554786097,1,-0.0002976708307817244,1,-0.0002966687341562541,1,-0.0002956096441465582,1,-0.0002944966767757057,1,-0.0002933327302372414,1,-0.000292120519744928,1,-0.0002908626051816304,1,-0.0002895614132989415,1,-0.0002882192556789247,1,-0.0002868383433282909,1,-0.0002854207985524002,1,-0.0002839686646058935,1,-0.0002824839135118352,1,-0.0002809684523657504,1,-0.00027942412838489,1,-0.0002778527329201333,1,-0.0002762560046140144,1,-0.0002746356318608482,1,-0.0002729932547020027,1,-0.0002713304662699173,1,-0.0002696488138776971,1,-0.0002679497998364686,1,-0.0002662348820698709
1.05,-0.0003193297380496883,1.05,-0.0003185245542979519,1.05,-0.0003176508563455829,1.05,-0.0003167123835685974,1.05,-0.0003157124841421299,1.05,-0.0003146541995450493,1.05,-0.0003135403257797451,1.05,-0.0003123734594522693,1.05,-0.0003111560334615927,1.05,-0.0003098903452202764,1.05,-0.0003085785792908584,1.05,-0.0003072228257049935,1.05,-0.0003058250948511754,1.05,-0.0003043873295737924,1.05,-0.0003029114149667647,1.05,-0.0003013991862375859,1.05,-0.0002998524349433119,1.05,-0.0002982729138472351,1.05,-0.0002966623406063071,1.05,-0.0002950224004700662,1.05,-0.0002933547481488086,1.05,-0.0002916610089899622,1.05,-0.0002899427795857579,1.05,-0.0002882016279214388,1.05,-0.00028643909316085,1.05,-0.0002846566851549279
1.1,-0.0003372179715582116,1.1,-0.000336428290794674,1.1,-0.0003355701319850682,1.1,-0.0003346468775747658,1.1,-0.0003336615322900965,1.1,-0.0003326168100130562,1.1,-0.0003315151953831119,1.1,-0.0003303589895189095,1.1,-0.0003291503451750788,1.1,-0.0003278912945095387,1.1,-0.0003265837714466672,1.1,-0.0003252296299279706,1.1,-0.0003238306589218325,1.1,-0.0003223885948015342,1.1,-0.0003209051315327525,1.1,-0.0003193819290018541,1.1,-0.0003178206197432181,1.1,-0.0003162228142743322,1.1,-0.0003145901052133736,1.1,-0.0003129240703300568,1.1,-0.0003112262746632747,1.1,-0.0003094982718261515,1.1,-0.0003077416046090153,1.1,-0.0003059578049824474,1.1,-0.0003041483935952524,1.1,-0.000302314878855464
1.15,-0.0003541265826404963,1.15,-0.0003533575114259598,1.15,-0.0003525199963498749,1.15,-0.0003516171207264154,1.15,-0.0003506516011407916,1.15,-0.0003496258765236413,1.15,-0.0003485421696162511,1.15,-0.000347402531686717,1.15,-0.0003462088764802444,1.15,-0.0003449630068865636,1.15,-0.0003436666364446039,1.15,-0.0003423214070240413,1.15,-0.0003409289035581523,1.15,-0.0003394906484994938,1.15,-0.0003380081244482538,1.15,-0.0003364828134283365,1.15,-0.0003349161779636078,1.15,-0.0003333096689513827,1.15,-0.000331664730533422,1.15,-0.0003299828039286816,1.15,-0.0003282653303253437,1.15,-0.0003265137529203326,1.15,-0.0003247295181883987,1.15,-0.0003229140764587999,1.15,-0.0003210688818747562,1.15,-0.0003191953918087178
1.2,-0.000370243409107374,1.2,-0.0003694951508325509,1.2,-0.0003686782496771157,1.2,-0.0003677955536488272,1.2,-0.0003668495483189895,1.2,-0.0003658424500382642,1.2,-0.0003647762683354313,1.2,-0.0003636528501839228,1.2,-0.0003624739129711025,1.2,-0.000361241070069193,1.2,-0.0003599558513345602,1.2,-0.0003586197199751112,1.2,-0.0003572340867051482,1.2,-0.0003558003221770554,1.2,-0.0003543197660766524,1.2,-0.0003527937372860942,1.2,-0.0003512235410899797,1.2,-0.0003496104757116012,1.2,-0.0003479558378466689,1.2,-0.0003462609272756199,1.2,-0.0003445270506211138,1.2,-0.0003427555243082648,1.2,-0.0003409476767798598,1.2,-0.0003391048235048296,1.2,-0.0003372282910563573,1.2,-0.0003353194535602414
1.25,-0.0003857356321275007,1.25,-0.0003850049562128015,1.25,-0.0003842051324274953,1.25,-0.0003833388342227313,1.25,-0.0003824083673481673,1.25,-0.0003814157702015491,1.25,-0.000380362879045949,1.25,-0.0003792513730479409,1.25,-0.0003780828070473254,1.25,-0.0003768586365019185,1.25,-0.000375580237223377,1.25,-0.0003742489215021397,1.25,-0.000372865951626657,1.25,-0.0003714325514439738,1.25,-0.0003699499163860807,1.25,-0.0003684192222446489,1.25,-0.0003668416328852738,1.25,-0.0003652183070321475,1.25,-0.0003635504042145865,1.25,-0.0003618390899407344,1.25,-0.0003600855401467431,1.25,-0.0003582909449588146,1.25,-0.0003564565117988297,1.25,-0.000354583468224691,1.25,-0.0003526730626545843,1.25,-0.0003507265668573855
1.3,-0.0004007379085039576,1.3,-0.0004000193632480373,1.3,-0.0003992308141866464,1.3,-0.0003983748090968065,1.3,-0.0003974535122146311,1.3,-0.0003964688150387256,1.3,-0.000395422406503163,1.3,-0.0003943158202442754,1.3,-0.0003931504681878973,1.3,-0.00039192766557619,1.3,-0.0003906486504192518,1.3,-0.0003893145991818194,1.3,-0.0003879266398370716,1.3,-0.0003864858630125143,1.3,-0.0003849933317008331,1.3,-0.0003834500898484242,1.3,-0.0003818571700304461,1.3,-0.0003802156003527622,1.3,-0.0003785264106754473,1.3,-0.0003767906382217238,1.3,-0.0003750093326153129,1.3,-0.0003731835603749644,1.3,-0.0003713144088852832,1.3,-0.0003694029898564477,1.3,-0.0003674504422811881,1.3,-0.0003654579348945817
1.35,-0.0004153504646909556,1.35,-0.0004146372260495455,1.35,-0.0004138527364735633,1.35,-0.0004129994534199059,1.35,-0.0004120794242360449,1.35,-0.0004110944107116362,1.35,-0.000410045966290321,1.35,-0.0004089354870002382,1.35,-0.0004077642468996978,1.35,-0.0004065334239627741,1.35,-0.0004052441198342283,1.35,-0.0004038973755245087,1.35,-0.0004024941843379163,1.35,-0.0004010355028633058,1.35,-0.0003995222605705965,1.35,-0.0003979553683748193,1.35,-0.0003963357264113802,1.35,-0.0003946642311877924,1.35,-0.0003929417822239,1.35,-0.0003911692882556317,1.35,-0.0003893476730509094,1.35,-0.0003874778808668038,1.35,-0.0003855608815619469,1.35,-0.0003835976753660458,1.35,-0.0003815892972980231,1.35,-0.0003795368212152956
