Vp1 ,Vout (V),Vbias1 (V),Vbias2 (V),Vbias3 (V),I1.Mb6:d (A),I1.M5A:d (A),I1.M5B:d (A),I1.M2A:d (A),I1.M2B:d (A),I1.VTAIL (V),I1.VG5 (V),I1.VG4 (V),I1.VD1A (V),I1.VD1B (V),I0.Mb2:d (A),I0.Mb4:d (A),I0.Mb10:d (A),I0.VGb7 (V)
-500.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-430.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-360.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-290.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-220.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-150.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-80.00E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
-10.00E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
60.00E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
130.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
200.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
270.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
340.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
410.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
480.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
550.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
620.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
690.0E-3,2.237,2.586,480.6E-3,460.0E-3,-21.03E-6,-5.902E-6,-5.902E-6,15.04E-6,15.04E-6,1.910,2.618,2.237,56.58E-3,56.58E-3,10.41E-6,-11.04E-6,10.37E-6,1.186
