Vp1 ,Vout_p (V),Vp1 ,deriv(v("/Vout_p" ?result "dc"))
-500.0E-3,520.3E-3,-499.9E-3,3.856E-6
-499.9E-3,520.3E-3,-499.8E-3,3.856E-6
-499.8E-3,520.3E-3,-499.7E-3,3.857E-6
-499.7E-3,520.3E-3,-499.6E-3,3.857E-6
-499.6E-3,520.3E-3,-499.5E-3,3.858E-6
-499.5E-3,520.3E-3,-499.4E-3,3.858E-6
-499.4E-3,520.3E-3,-499.3E-3,3.859E-6
-499.3E-3,520.3E-3,-499.2E-3,3.859E-6
-499.2E-3,520.3E-3,-499.1E-3,3.860E-6
-499.1E-3,520.3E-3,-499.0E-3,3.860E-6
-499.0E-3,520.3E-3,-498.9E-3,3.861E-6
-498.9E-3,520.3E-3,-498.8E-3,3.861E-6
-498.8E-3,520.3E-3,-498.7E-3,3.862E-6
-498.7E-3,520.3E-3,-498.6E-3,3.863E-6
-498.6E-3,520.3E-3,-498.5E-3,3.863E-6
-498.5E-3,520.3E-3,-498.4E-3,3.864E-6
-498.4E-3,520.3E-3,-498.3E-3,3.864E-6
-498.3E-3,520.3E-3,-498.2E-3,3.865E-6
-498.2E-3,520.3E-3,-498.1E-3,3.865E-6
-498.1E-3,520.3E-3,-498.0E-3,3.866E-6
-498.0E-3,520.3E-3,-497.9E-3,3.866E-6
-497.9E-3,520.3E-3,-497.8E-3,3.867E-6
-497.8E-3,520.3E-3,-497.7E-3,3.867E-6
-497.7E-3,520.3E-3,-497.6E-3,3.868E-6
-497.6E-3,520.3E-3,-497.5E-3,3.868E-6
-497.5E-3,520.3E-3,-497.4E-3,3.869E-6
-497.4E-3,520.3E-3,-497.3E-3,3.869E-6
-497.3E-3,520.3E-3,-497.2E-3,3.870E-6
-497.2E-3,520.3E-3,-497.1E-3,3.871E-6
-497.1E-3,520.3E-3,-497.0E-3,3.871E-6
-497.0E-3,520.3E-3,-496.9E-3,3.872E-6
-496.9E-3,520.3E-3,-496.8E-3,3.872E-6
-496.8E-3,520.3E-3,-496.7E-3,3.873E-6
-496.7E-3,520.3E-3,-496.6E-3,3.873E-6
-496.6E-3,520.3E-3,-496.5E-3,3.874E-6
-496.5E-3,520.3E-3,-496.4E-3,3.874E-6
-496.4E-3,520.3E-3,-496.3E-3,3.875E-6
-496.3E-3,520.3E-3,-496.2E-3,3.875E-6
-496.2E-3,520.3E-3,-496.1E-3,3.876E-6
-496.1E-3,520.3E-3,-496.0E-3,3.876E-6
-496.0E-3,520.3E-3,-495.9E-3,3.877E-6
-495.9E-3,520.3E-3,-495.8E-3,3.877E-6
-495.8E-3,520.3E-3,-495.7E-3,3.878E-6
-495.7E-3,520.3E-3,-495.6E-3,3.879E-6
-495.6E-3,520.3E-3,-495.5E-3,3.879E-6
-495.5E-3,520.3E-3,-495.4E-3,3.880E-6
-495.4E-3,520.3E-3,-495.3E-3,3.880E-6
-495.3E-3,520.3E-3,-495.2E-3,3.881E-6
-495.2E-3,520.3E-3,-495.1E-3,3.881E-6
-495.1E-3,520.3E-3,-495.0E-3,3.882E-6
-495.0E-3,520.3E-3,-494.9E-3,3.882E-6
-494.9E-3,520.3E-3,-494.8E-3,3.883E-6
-494.8E-3,520.3E-3,-494.7E-3,3.883E-6
-494.7E-3,520.3E-3,-494.6E-3,3.884E-6
-494.6E-3,520.3E-3,-494.5E-3,3.884E-6
-494.5E-3,520.3E-3,-494.4E-3,3.885E-6
-494.4E-3,520.3E-3,-494.3E-3,3.886E-6
-494.3E-3,520.3E-3,-494.2E-3,3.886E-6
-494.2E-3,520.3E-3,-494.1E-3,3.887E-6
-494.1E-3,520.3E-3,-494.0E-3,3.887E-6
-494.0E-3,520.3E-3,-493.9E-3,3.888E-6
-493.9E-3,520.3E-3,-493.8E-3,3.888E-6
-493.8E-3,520.3E-3,-493.7E-3,3.889E-6
-493.7E-3,520.3E-3,-493.6E-3,3.889E-6
-493.6E-3,520.3E-3,-493.5E-3,3.890E-6
-493.5E-3,520.3E-3,-493.4E-3,3.890E-6
-493.4E-3,520.3E-3,-493.3E-3,3.891E-6
-493.3E-3,520.3E-3,-493.2E-3,3.891E-6
-493.2E-3,520.3E-3,-493.1E-3,3.892E-6
-493.1E-3,520.3E-3,-493.0E-3,3.892E-6
-493.0E-3,520.3E-3,-492.9E-3,3.893E-6
-492.9E-3,520.3E-3,-492.8E-3,3.894E-6
-492.8E-3,520.3E-3,-492.7E-3,3.894E-6
-492.7E-3,520.3E-3,-492.6E-3,3.895E-6
-492.6E-3,520.3E-3,-492.5E-3,3.895E-6
-492.5E-3,520.3E-3,-492.4E-3,3.896E-6
-492.4E-3,520.3E-3,-492.3E-3,3.896E-6
-492.3E-3,520.3E-3,-492.2E-3,3.897E-6
-492.2E-3,520.3E-3,-492.1E-3,3.897E-6
-492.1E-3,520.3E-3,-492.0E-3,3.898E-6
-492.0E-3,520.3E-3,-491.9E-3,3.898E-6
-491.9E-3,520.3E-3,-491.8E-3,3.899E-6
-491.8E-3,520.3E-3,-491.7E-3,3.899E-6
-491.7E-3,520.3E-3,-491.6E-3,3.900E-6
-491.6E-3,520.3E-3,-491.5E-3,3.901E-6
-491.5E-3,520.3E-3,-491.4E-3,3.901E-6
-491.4E-3,520.3E-3,-491.3E-3,3.902E-6
-491.3E-3,520.3E-3,-491.2E-3,3.902E-6
-491.2E-3,520.3E-3,-491.1E-3,3.903E-6
-491.1E-3,520.3E-3,-491.0E-3,3.903E-6
-491.0E-3,520.3E-3,-490.9E-3,3.904E-6
-490.9E-3,520.3E-3,-490.8E-3,3.904E-6
-490.8E-3,520.3E-3,-490.7E-3,3.905E-6
-490.7E-3,520.3E-3,-490.6E-3,3.905E-6
-490.6E-3,520.3E-3,-490.5E-3,3.906E-6
-490.5E-3,520.3E-3,-490.4E-3,3.906E-6
-490.4E-3,520.3E-3,-490.3E-3,3.907E-6
-490.3E-3,520.3E-3,-490.2E-3,3.908E-6
-490.2E-3,520.3E-3,-490.1E-3,3.908E-6
-490.1E-3,520.3E-3,-490.0E-3,3.909E-6
-490.0E-3,520.3E-3,-489.9E-3,3.909E-6
-489.9E-3,520.3E-3,-489.8E-3,3.910E-6
-489.8E-3,520.3E-3,-489.7E-3,3.910E-6
-489.7E-3,520.3E-3,-489.6E-3,3.911E-6
-489.6E-3,520.3E-3,-489.5E-3,3.911E-6
-489.5E-3,520.3E-3,-489.4E-3,3.912E-6
-489.4E-3,520.3E-3,-489.3E-3,3.912E-6
-489.3E-3,520.3E-3,-489.2E-3,3.913E-6
-489.2E-3,520.3E-3,-489.1E-3,3.914E-6
-489.1E-3,520.3E-3,-489.0E-3,3.914E-6
-489.0E-3,520.3E-3,-488.9E-3,3.915E-6
-488.9E-3,520.3E-3,-488.8E-3,3.915E-6
-488.8E-3,520.3E-3,-488.7E-3,3.916E-6
-488.7E-3,520.3E-3,-488.6E-3,3.916E-6
-488.6E-3,520.3E-3,-488.5E-3,3.917E-6
-488.5E-3,520.3E-3,-488.4E-3,3.917E-6
-488.4E-3,520.3E-3,-488.3E-3,3.918E-6
-488.3E-3,520.3E-3,-488.2E-3,3.918E-6
-488.2E-3,520.3E-3,-488.1E-3,3.919E-6
-488.1E-3,520.3E-3,-488.0E-3,3.919E-6
-488.0E-3,520.3E-3,-487.9E-3,3.920E-6
-487.9E-3,520.3E-3,-487.8E-3,3.921E-6
-487.8E-3,520.3E-3,-487.7E-3,3.921E-6
-487.7E-3,520.3E-3,-487.6E-3,3.922E-6
-487.6E-3,520.3E-3,-487.5E-3,3.922E-6
-487.5E-3,520.3E-3,-487.4E-3,3.923E-6
-487.4E-3,520.3E-3,-487.3E-3,3.923E-6
-487.3E-3,520.3E-3,-487.2E-3,3.924E-6
-487.2E-3,520.3E-3,-487.1E-3,3.924E-6
-487.1E-3,520.3E-3,-487.0E-3,3.925E-6
-487.0E-3,520.3E-3,-486.9E-3,3.925E-6
-486.9E-3,520.3E-3,-486.8E-3,3.926E-6
-486.8E-3,520.3E-3,-486.7E-3,3.927E-6
-486.7E-3,520.3E-3,-486.6E-3,3.927E-6
-486.6E-3,520.3E-3,-486.5E-3,3.928E-6
-486.5E-3,520.3E-3,-486.4E-3,3.928E-6
-486.4E-3,520.3E-3,-486.3E-3,3.929E-6
-486.3E-3,520.3E-3,-486.2E-3,3.929E-6
-486.2E-3,520.3E-3,-486.1E-3,3.930E-6
-486.1E-3,520.3E-3,-486.0E-3,3.930E-6
-486.0E-3,520.3E-3,-485.9E-3,3.931E-6
-485.9E-3,520.3E-3,-485.8E-3,3.931E-6
-485.8E-3,520.3E-3,-485.7E-3,3.932E-6
-485.7E-3,520.3E-3,-485.6E-3,3.933E-6
-485.6E-3,520.3E-3,-485.5E-3,3.933E-6
-485.5E-3,520.3E-3,-485.4E-3,3.934E-6
-485.4E-3,520.3E-3,-485.3E-3,3.934E-6
-485.3E-3,520.3E-3,-485.2E-3,3.935E-6
-485.2E-3,520.3E-3,-485.1E-3,3.935E-6
-485.1E-3,520.3E-3,-485.0E-3,3.936E-6
-485.0E-3,520.3E-3,-484.9E-3,3.936E-6
