Vp1 ,Vout_p (V),Vbias1 (V),Vbias2 (V),Vbias3 (V),I1.M4A:d (A),I1.M4B:d (A),I1.M2A:d (A),I1.M2B:d (A),I1.VTAIL (V),I1.VG4 (V),I1.VG5 (V),I1.M1B:d (A),I1.M1A:d (A)
-500.0E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.9E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.8E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.7E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.6E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.5E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.4E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.3E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.2E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.1E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-499.0E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.9E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.8E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.7E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.6E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.5E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.4E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.3E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.2E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.1E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-498.0E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.9E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.8E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.7E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.6E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.5E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.4E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
-497.3E-3,520.3E-3,2.586,596.3E-3,460.0E-3,-1.328E-6,-17.34E-6,20.89E-6,17.63E-6,1.736,2.384,2.692,-287.7E-9,-20.89E-6
