time (s),out1 (V),d0 (V),d1 (V),d2 (V),d3 (V),d4 (V),d5 (V),d6 (V),d7 (V),I3.comp (V)
0.000,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
15.00E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
45.00E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
105.0E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
225.0E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
362.5E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
500.0E-9,125.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
500.0E-9,125.2E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,999.9E-3,1.000,1.000,1.250
500.0E-9,125.2E-3,999.8E-3,999.8E-3,999.8E-3,999.8E-3,999.8E-3,999.8E-3,999.9E-3,1.000,1.250
500.0E-9,125.2E-3,999.5E-3,999.5E-3,999.5E-3,999.5E-3,999.5E-3,999.5E-3,999.7E-3,1.000,1.250
500.0E-9,125.1E-3,999.1E-3,999.1E-3,999.1E-3,999.1E-3,999.1E-3,999.1E-3,999.5E-3,1.000,1.250
500.0E-9,125.0E-3,998.6E-3,998.6E-3,998.6E-3,998.6E-3,998.6E-3,998.6E-3,999.2E-3,1.000,1.250
500.0E-9,124.8E-3,998.4E-3,998.4E-3,998.4E-3,998.4E-3,998.4E-3,998.4E-3,999.0E-3,1.000,1.250
500.0E-9,124.4E-3,998.8E-3,998.8E-3,998.8E-3,998.8E-3,998.8E-3,998.8E-3,999.3E-3,1.000,1.250
500.0E-9,124.0E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,999.4E-3,999.7E-3,1.000,1.250
500.0E-9,123.4E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.250
500.0E-9,122.5E-3,1.002,1.002,1.002,1.002,1.002,1.002,1.001,1.000,1.250
500.1E-9,122.1E-3,1.003,1.003,1.003,1.003,1.003,1.003,1.002,1.000,1.250
500.1E-9,121.8E-3,1.006,1.006,1.006,1.006,1.006,1.006,1.005,1.000,1.250
500.1E-9,121.5E-3,1.011,1.011,1.011,1.011,1.011,1.011,1.010,1.000,1.250
500.1E-9,121.3E-3,1.018,1.018,1.018,1.018,1.018,1.018,1.017,1.000,1.250
500.1E-9,121.1E-3,1.022,1.022,1.022,1.022,1.022,1.022,1.021,1.000,1.250
500.1E-9,121.0E-3,1.025,1.025,1.025,1.025,1.025,1.025,1.025,1.000,1.250
500.1E-9,120.8E-3,1.027,1.027,1.027,1.027,1.027,1.027,1.029,1.000,1.250
500.1E-9,120.6E-3,1.024,1.024,1.024,1.024,1.024,1.024,1.031,1.000,1.250
500.1E-9,120.5E-3,1.020,1.020,1.020,1.020,1.020,1.020,1.031,1.000,1.250
500.1E-9,120.3E-3,1.012,1.012,1.012,1.012,1.012,1.012,1.030,1.000,1.250
500.1E-9,120.0E-3,1.002,1.002,1.002,1.002,1.002,1.002,1.027,1.000,1.250
500.1E-9,119.8E-3,988.1E-3,988.1E-3,988.1E-3,988.1E-3,988.1E-3,987.9E-3,1.020,999.9E-3,1.250
500.1E-9,119.6E-3,979.7E-3,979.5E-3,979.5E-3,979.5E-3,979.5E-3,979.2E-3,1.015,999.9E-3,1.250
500.1E-9,119.5E-3,970.1E-3,969.6E-3,969.6E-3,969.6E-3,969.6E-3,969.4E-3,1.008,999.9E-3,1.250
500.1E-9,119.4E-3,960.9E-3,960.1E-3,960.1E-3,960.1E-3,960.1E-3,960.0E-3,1.000,999.9E-3,1.250
500.1E-9,119.4E-3,947.6E-3,946.5E-3,946.5E-3,946.5E-3,946.5E-3,946.4E-3,989.2E-3,999.9E-3,1.250
500.1E-9,119.3E-3,932.1E-3,930.7E-3,930.7E-3,930.7E-3,930.7E-3,930.5E-3,975.6E-3,999.9E-3,1.250
500.1E-9,119.2E-3,903.2E-3,901.0E-3,901.0E-3,901.0E-3,901.0E-3,900.9E-3,949.2E-3,999.8E-3,1.250
500.1E-9,119.2E-3,870.6E-3,867.5E-3,867.5E-3,867.5E-3,867.5E-3,867.4E-3,918.5E-3,999.8E-3,1.250
500.1E-9,119.1E-3,838.7E-3,834.8E-3,834.8E-3,834.8E-3,834.8E-3,834.7E-3,887.8E-3,999.8E-3,1.250
500.1E-9,119.0E-3,799.7E-3,795.0E-3,795.0E-3,795.0E-3,795.0E-3,794.9E-3,849.6E-3,999.8E-3,1.250
500.1E-9,119.0E-3,752.3E-3,746.9E-3,747.0E-3,747.0E-3,747.0E-3,746.9E-3,802.7E-3,999.8E-3,1.250
500.1E-9,118.9E-3,682.8E-3,677.8E-3,677.9E-3,677.9E-3,677.9E-3,677.7E-3,735.1E-3,999.9E-3,1.250
500.1E-9,118.8E-3,623.1E-3,619.5E-3,619.6E-3,619.6E-3,619.6E-3,619.4E-3,678.4E-3,999.9E-3,1.250
500.1E-9,118.7E-3,564.4E-3,562.9E-3,563.0E-3,563.0E-3,563.0E-3,562.8E-3,622.6E-3,1.000,1.250
500.1E-9,118.7E-3,505.0E-3,505.9E-3,505.9E-3,505.9E-3,505.9E-3,505.8E-3,564.9E-3,1.000,1.250
500.1E-9,118.8E-3,434.5E-3,437.8E-3,437.9E-3,437.8E-3,437.9E-3,437.7E-3,494.6E-3,1.000,1.250
500.1E-9,119.0E-3,367.2E-3,372.4E-3,372.4E-3,372.4E-3,372.4E-3,372.3E-3,424.4E-3,1.001,1.250
500.1E-9,119.3E-3,307.9E-3,314.0E-3,314.0E-3,314.0E-3,314.0E-3,313.9E-3,357.7E-3,1.001,1.250
500.1E-9,119.6E-3,260.2E-3,266.3E-3,266.3E-3,266.3E-3,266.3E-3,266.3E-3,301.5E-3,1.001,1.250
500.1E-9,119.9E-3,222.1E-3,227.9E-3,227.9E-3,227.9E-3,227.9E-3,227.9E-3,256.4E-3,1.002,1.250
500.1E-9,120.2E-3,189.6E-3,194.9E-3,194.9E-3,194.9E-3,194.9E-3,194.8E-3,217.9E-3,1.002,1.250
500.1E-9,120.5E-3,156.8E-3,161.5E-3,161.5E-3,161.5E-3,161.5E-3,161.4E-3,179.3E-3,1.002,1.250
500.1E-9,120.6E-3,142.4E-3,146.8E-3,146.8E-3,146.8E-3,146.8E-3,146.7E-3,162.4E-3,1.003,1.249
500.1E-9,120.8E-3,127.7E-3,131.6E-3,131.6E-3,131.6E-3,131.6E-3,131.6E-3,144.7E-3,1.003,1.249
500.1E-9,120.8E-3,118.3E-3,122.0E-3,122.0E-3,122.0E-3,122.0E-3,122.0E-3,133.4E-3,1.003,1.249
500.1E-9,120.9E-3,108.8E-3,112.2E-3,112.2E-3,112.2E-3,112.2E-3,112.2E-3,122.2E-3,1.003,1.249
500.1E-9,121.0E-3,101.4E-3,104.6E-3,104.6E-3,104.6E-3,104.6E-3,104.6E-3,113.6E-3,1.003,1.249
500.1E-9,121.0E-3,92.21E-3,95.24E-3,95.24E-3,95.24E-3,95.24E-3,95.23E-3,103.2E-3,1.003,1.249
500.1E-9,121.0E-3,85.21E-3,88.05E-3,88.05E-3,88.05E-3,88.05E-3,88.04E-3,95.32E-3,1.003,1.249
500.1E-9,121.1E-3,77.23E-3,79.87E-3,79.87E-3,79.87E-3,79.87E-3,79.86E-3,86.40E-3,1.003,1.249
500.1E-9,121.1E-3,68.29E-3,70.70E-3,70.70E-3,70.70E-3,70.70E-3,70.70E-3,76.42E-3,1.003,1.250
500.1E-9,121.1E-3,57.34E-3,59.49E-3,59.50E-3,59.50E-3,59.50E-3,59.50E-3,64.19E-3,1.004,1.250
