Vbat ,VDDA (temp=-4.00e+01) (V),VDDA (temp=2.50e+01) (V),VDDA (temp=8.50e+01) (V)
900.0E-3,1.511E-6,16.19E-6,780.6E-3
950.0E-3,1.522E-6,16.28E-6,815.2E-3
1.000,1.532E-6,16.37E-6,850.0E-3
1.050,1.543E-6,16.47E-6,884.9E-3
1.100,1.554E-6,16.58E-6,919.9E-3
1.150,1.566E-6,16.69E-6,954.9E-3
1.200,1.577E-6,16.80E-6,989.7E-3
1.250,1.606E-6,16.93E-6,1.024
1.300,1.908E-6,17.28E-6,1.058
1.350,4.838E-6,19.87E-6,1.090
1.400,24.59E-6,37.17E-6,1.112
1.450,122.8E-6,125.0E-6,1.118
1.500,504.7E-6,473.0E-6,1.120
1.550,1.705E-3,1.587E-3,1.121
1.600,4.795E-3,4.503E-3,1.121
1.650,11.31E-3,10.75E-3,1.121
1.700,22.64E-3,21.74E-3,1.121
1.750,39.32E-3,38.10E-3,1.121
1.800,61.03E-3,59.50E-3,1.121
1.850,86.97E-3,85.17E-3,1.121
1.900,116.3E-3,114.3E-3,1.121
1.950,148.4E-3,146.1E-3,1.121
2.000,182.6E-3,180.0E-3,1.121
2.050,218.5E-3,215.5E-3,1.121
2.100,255.8E-3,252.4E-3,1.121
2.150,294.3E-3,290.2E-3,1.121
2.200,333.7E-3,328.6E-3,1.121
2.250,373.9E-3,367.4E-3,1.121
2.300,414.8E-3,406.0E-3,1.121
2.350,456.2E-3,444.3E-3,1.121
2.400,498.1E-3,481.9E-3,1.121
2.450,540.3E-3,518.3E-3,1.121
2.500,582.7E-3,553.5E-3,1.121
2.550,625.4E-3,587.0E-3,1.121
2.600,668.2E-3,618.9E-3,1.121
2.650,711.0E-3,649.0E-3,1.121
2.700,753.9E-3,677.4E-3,1.121
2.750,796.6E-3,703.9E-3,1.121
2.800,839.2E-3,728.8E-3,1.121
2.850,881.5E-3,752.2E-3,1.121
2.900,923.6E-3,774.2E-3,1.122
2.950,965.2E-3,795.1E-3,1.122
3.000,1.006,814.9E-3,1.124
3.050,1.047,834.0E-3,1.126
3.100,1.086,852.9E-3,1.132
3.150,1.116,872.6E-3,1.156
3.200,1.129,894.8E-3,1.296
