Vbat ,VDDA (temp=-4.00e+01) (V),VDDA (temp=2.50e+01) (V),VDDA (temp=8.50e+01) (V)
900.0E-3,884.2E-3,847.4E-3,780.3E-3
950.0E-3,931.8E-3,887.9E-3,815.1E-3
1.000,979.1E-3,928.6E-3,849.9E-3
1.050,1.026,969.5E-3,884.9E-3
1.100,1.074,1.010,919.9E-3
1.150,1.119,1.051,954.9E-3
1.200,1.135,1.091,989.7E-3
1.250,1.135,1.119,1.024
1.300,1.135,1.126,1.058
1.350,1.135,1.127,1.090
1.400,1.135,1.127,1.112
1.450,1.135,1.127,1.118
1.500,1.135,1.127,1.120
1.550,1.135,1.127,1.121
1.600,1.135,1.127,1.121
1.650,1.135,1.127,1.121
1.700,1.135,1.127,1.121
1.750,1.135,1.127,1.121
1.800,1.135,1.127,1.121
1.850,1.135,1.127,1.121
1.900,1.135,1.127,1.121
1.950,1.135,1.127,1.121
2.000,1.135,1.127,1.121
2.050,1.135,1.127,1.121
2.100,1.135,1.127,1.121
2.150,1.135,1.127,1.121
2.200,1.135,1.127,1.121
2.250,1.135,1.127,1.121
2.300,1.135,1.127,1.121
2.350,1.135,1.127,1.121
2.400,1.135,1.127,1.121
2.450,1.135,1.127,1.121
2.500,1.135,1.127,1.121
2.550,1.135,1.127,1.121
2.600,1.135,1.127,1.121
2.650,1.135,1.127,1.121
2.700,1.135,1.127,1.121
2.750,1.135,1.127,1.121
2.800,1.135,1.127,1.121
2.850,1.136,1.127,1.122
2.900,1.136,1.128,1.122
2.950,1.136,1.128,1.123
3.000,1.136,1.129,1.125
3.050,1.137,1.130,1.128
3.100,1.138,1.133,1.135
3.150,1.140,1.137,1.160
3.200,1.143,1.149,1.300
