Vbat ,Vptat (temp=-4.00e+01) (V),Vptat (temp=2.70e+01) (V),Vptat (temp=8.50e+01) (V),Vref (temp=-4.00e+01) (V),Vref (temp=2.70e+01) (V),Vref (temp=8.50e+01) (V)
1.600,1.445E-3,4.810E-3,10.50E-3,1.201,1.213,1.227
1.650,1.445E-3,4.813E-3,10.49E-3,1.201,1.213,1.227
1.700,1.445E-3,4.813E-3,10.49E-3,1.201,1.213,1.227
1.750,1.446E-3,4.813E-3,10.49E-3,1.201,1.213,1.227
1.800,1.450E-3,4.816E-3,10.49E-3,1.201,1.214,1.227
1.850,1.472E-3,4.824E-3,10.49E-3,1.201,1.214,1.227
1.900,1.570E-3,4.862E-3,10.50E-3,1.201,1.214,1.228
1.950,1.961E-3,5.013E-3,10.56E-3,1.201,1.214,1.228
2.000,3.404E-3,5.538E-3,10.77E-3,1.201,1.214,1.228
2.050,7.569E-3,7.231E-3,11.45E-3,1.201,1.214,1.228
2.100,16.10E-3,11.96E-3,13.43E-3,1.201,1.214,1.228
2.150,29.93E-3,21.92E-3,18.56E-3,1.201,1.214,1.228
2.200,49.08E-3,37.79E-3,29.23E-3,1.201,1.214,1.228
2.250,72.91E-3,59.03E-3,46.36E-3,1.201,1.214,1.228
2.300,100.6E-3,84.70E-3,69.03E-3,1.201,1.214,1.228
2.350,131.3E-3,113.9E-3,96.04E-3,1.201,1.214,1.228
2.400,164.5E-3,145.9E-3,126.4E-3,1.201,1.214,1.228
2.450,199.6E-3,180.1E-3,159.3E-3,1.201,1.214,1.228
2.500,236.2E-3,216.0E-3,194.3E-3,1.201,1.214,1.228
2.550,274.2E-3,253.4E-3,230.9E-3,1.201,1.214,1.228
2.600,313.1E-3,291.9E-3,268.8E-3,1.201,1.214,1.228
2.650,353.0E-3,331.4E-3,307.8E-3,1.201,1.214,1.229
2.700,393.7E-3,371.7E-3,347.7E-3,1.202,1.215,1.230
2.750,434.9E-3,412.6E-3,388.2E-3,1.202,1.216,1.232
2.800,476.7E-3,454.0E-3,429.0E-3,1.204,1.219,1.236
2.850,518.9E-3,495.7E-3,469.9E-3,1.206,1.223,1.244
2.900,561.4E-3,537.5E-3,510.4E-3,1.209,1.230,1.259
2.950,604.1E-3,579.1E-3,550.1E-3,1.214,1.243,1.283
3.000,646.8E-3,620.2E-3,588.4E-3,1.221,1.262,1.321
3.050,689.3E-3,660.4E-3,624.9E-3,1.234,1.291,1.376
3.100,731.4E-3,699.3E-3,659.1E-3,1.253,1.334,1.454
3.150,772.6E-3,736.5E-3,690.3E-3,1.282,1.397,1.563
3.200,812.7E-3,771.3E-3,717.4E-3,1.325,1.486,1.718
