Vbat ,Vref (temp=-4.00e+01) (V),Vref (temp=-3.00e+01) (V),Vref (temp=-2.00e+01) (V),Vref (temp=-1.00e+01) (V),Vref (temp=0.00e+00) (V),Vref (temp=1.00e+01) (V),Vref (temp=2.00e+01) (V),Vref (temp=3.00e+01) (V),Vref (temp=4.00e+01) (V),Vref (temp=5.00e+01) (V),Vref (temp=6.00e+01) (V),Vref (temp=7.00e+01) (V),Vref (temp=8.00e+01) (V)
1.600,1.173,1.169,1.164,1.160,1.155,1.150,1.144,1.139,1.133,1.127,1.121,1.115,1.108
1.650,1.200,1.202,1.204,1.203,1.198,1.192,1.187,1.181,1.175,1.169,1.163,1.156,1.150
1.700,1.200,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.212,1.205,1.199,1.192
1.750,1.200,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.800,1.200,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.850,1.200,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.900,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.950,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.000,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.050,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.100,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.150,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.200,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.250,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.300,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.350,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.400,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.450,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.500,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.550,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.600,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.650,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.700,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.226
2.750,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.227
2.800,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.215,1.217,1.219,1.222,1.224,1.227
2.850,1.201,1.203,1.204,1.206,1.208,1.210,1.213,1.215,1.217,1.220,1.222,1.225,1.227
2.900,1.201,1.203,1.205,1.207,1.209,1.211,1.213,1.215,1.218,1.220,1.223,1.226,1.229
2.950,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.222,1.225,1.228,1.231
3.000,1.203,1.205,1.207,1.210,1.212,1.214,1.217,1.219,1.222,1.225,1.228,1.232,1.235
3.050,1.206,1.209,1.211,1.214,1.217,1.219,1.222,1.226,1.229,1.233,1.236,1.241,1.245
3.100,1.213,1.216,1.220,1.223,1.227,1.231,1.235,1.240,1.244,1.250,1.255,1.262,1.270
3.150,1.227,1.232,1.237,1.243,1.249,1.256,1.263,1.270,1.279,1.289,1.300,1.314,1.331
3.200,1.254,1.262,1.272,1.282,1.294,1.306,1.320,1.336,1.354,1.376,1.403,1.436,1.478
