Vbat ,Vref (temp=-4.00e+01) (V),Vref (temp=-3.00e+01) (V),Vref (temp=-2.00e+01) (V),Vref (temp=-1.00e+01) (V),Vref (temp=0.00e+00) (V),Vref (temp=1.00e+01) (V),Vref (temp=2.00e+01) (V),Vref (temp=3.00e+01) (V),Vref (temp=4.00e+01) (V),Vref (temp=5.00e+01) (V),Vref (temp=6.00e+01) (V),Vref (temp=7.00e+01) (V),Vref (temp=8.00e+01) (V)
1.600,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.650,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.700,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.750,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.800,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.850,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.900,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
1.950,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.000,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.050,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.100,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.150,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.200,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.250,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.300,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.350,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.216,1.219,1.221,1.224,1.226
2.400,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.226
2.450,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.226
2.500,1.201,1.202,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.226
2.550,1.201,1.203,1.204,1.206,1.208,1.210,1.212,1.214,1.217,1.219,1.221,1.224,1.227
2.600,1.201,1.203,1.205,1.206,1.208,1.210,1.212,1.215,1.217,1.219,1.222,1.224,1.227
2.650,1.201,1.203,1.205,1.207,1.209,1.211,1.213,1.215,1.217,1.220,1.222,1.225,1.227
2.700,1.202,1.203,1.205,1.207,1.209,1.211,1.214,1.216,1.218,1.221,1.223,1.226,1.228
2.750,1.202,1.204,1.206,1.208,1.210,1.213,1.215,1.217,1.220,1.222,1.225,1.227,1.230
2.800,1.204,1.206,1.208,1.210,1.212,1.215,1.217,1.220,1.222,1.225,1.228,1.231,1.234
2.850,1.206,1.208,1.210,1.213,1.215,1.218,1.221,1.224,1.227,1.231,1.234,1.238,1.242
2.900,1.209,1.211,1.214,1.217,1.221,1.224,1.228,1.232,1.236,1.240,1.245,1.250,1.256
2.950,1.214,1.217,1.221,1.225,1.229,1.234,1.239,1.244,1.250,1.257,1.263,1.271,1.279
3.000,1.221,1.226,1.231,1.237,1.243,1.249,1.257,1.264,1.273,1.282,1.292,1.303,1.315
3.050,1.234,1.241,1.248,1.256,1.264,1.273,1.283,1.295,1.307,1.320,1.334,1.350,1.367
3.100,1.253,1.263,1.273,1.284,1.296,1.309,1.323,1.339,1.356,1.375,1.395,1.417,1.441
3.150,1.282,1.295,1.310,1.325,1.343,1.361,1.381,1.403,1.427,1.453,1.482,1.512,1.546
3.200,1.325,1.344,1.364,1.386,1.410,1.436,1.465,1.496,1.529,1.566,1.605,1.648,1.694
