Vbat ,I0.net06 (V),net04 (V)
1.600,950.1E-3,950.1E-3
1.605,953.6E-3,953.6E-3
1.610,957.2E-3,957.2E-3
1.615,960.7E-3,960.7E-3
1.620,964.3E-3,964.3E-3
1.625,967.8E-3,967.8E-3
1.630,971.4E-3,971.4E-3
1.635,974.9E-3,974.9E-3
1.640,978.5E-3,978.5E-3
1.645,982.0E-3,982.0E-3
1.650,985.6E-3,985.6E-3
1.655,989.1E-3,989.1E-3
1.660,992.7E-3,992.7E-3
1.665,996.3E-3,996.3E-3
1.670,999.9E-3,999.9E-3
1.675,1.003,1.003
1.680,1.007,1.007
1.685,1.010,1.010
1.690,1.011,1.011
1.695,1.011,1.011
1.700,1.011,1.011
1.705,1.010,1.011
1.710,1.010,1.010
1.715,1.010,1.010
1.720,1.010,1.010
1.725,1.010,1.010
1.730,1.010,1.010
1.735,1.010,1.010
1.740,1.010,1.010
1.745,1.010,1.010
1.750,1.010,1.010
1.755,1.010,1.010
1.760,1.010,1.010
1.765,1.010,1.010
1.770,1.010,1.010
1.775,1.009,1.010
1.780,1.009,1.009
1.785,1.009,1.009
1.790,1.009,1.009
1.795,1.009,1.009
1.800,1.009,1.009
1.805,1.009,1.009
1.810,1.009,1.009
1.815,1.009,1.009
1.820,1.009,1.009
1.825,1.009,1.009
1.830,1.008,1.008
1.835,1.008,1.008
1.840,1.008,1.008
1.845,1.008,1.008
1.850,1.008,1.008
1.855,1.008,1.008
1.860,1.008,1.008
1.865,1.008,1.008
1.870,1.008,1.008
1.875,1.008,1.008
1.880,1.008,1.008
1.885,1.008,1.008
1.890,1.008,1.008
1.895,1.008,1.008
1.900,1.008,1.008
1.905,1.008,1.008
1.910,1.008,1.008
1.915,1.008,1.008
1.920,1.008,1.008
1.925,1.008,1.008
1.930,1.008,1.008
1.935,1.008,1.008
1.940,1.008,1.008
1.945,1.008,1.008
1.950,1.008,1.008
1.955,1.008,1.008
1.960,1.008,1.008
1.965,1.008,1.008
1.970,1.008,1.008
1.975,1.008,1.008
1.980,1.008,1.008
1.985,1.008,1.008
1.990,1.008,1.008
1.995,1.008,1.008
2.000,1.008,1.008
2.005,1.008,1.008
2.010,1.008,1.008
2.015,1.008,1.008
2.020,1.008,1.008
2.025,1.008,1.008
2.030,1.008,1.008
2.035,1.008,1.008
2.040,1.008,1.008
2.045,1.008,1.008
2.050,1.008,1.008
2.055,1.008,1.008
2.060,1.008,1.008
2.065,1.008,1.008
2.070,1.008,1.008
2.075,1.008,1.008
2.080,1.008,1.008
2.085,1.008,1.008
2.090,1.008,1.008
2.095,1.008,1.008
2.100,1.008,1.008
2.105,1.008,1.008
2.110,1.008,1.008
2.115,1.008,1.008
2.120,1.008,1.008
2.125,1.008,1.008
2.130,1.008,1.008
2.135,1.008,1.008
2.140,1.008,1.008
2.145,1.008,1.008
2.150,1.008,1.008
2.155,1.008,1.008
2.160,1.008,1.008
2.165,1.008,1.008
2.170,1.008,1.008
2.175,1.008,1.008
2.180,1.008,1.008
2.185,1.008,1.008
2.190,1.008,1.008
2.195,1.008,1.008
2.200,1.008,1.008
2.205,1.008,1.008
2.210,1.008,1.008
2.215,1.008,1.008
2.220,1.008,1.008
2.225,1.008,1.008
2.230,1.008,1.008
2.235,1.008,1.008
2.240,1.008,1.008
2.245,1.008,1.008
2.250,1.008,1.008
2.255,1.008,1.008
2.260,1.008,1.008
2.265,1.008,1.008
2.270,1.008,1.008
2.275,1.008,1.008
2.280,1.008,1.008
2.285,1.008,1.008
2.290,1.008,1.008
2.295,1.008,1.008
2.300,1.008,1.008
2.305,1.008,1.008
2.310,1.008,1.008
2.315,1.008,1.008
2.320,1.008,1.008
2.325,1.008,1.008
2.330,1.008,1.008
2.335,1.008,1.008
2.340,1.008,1.008
2.345,1.008,1.008
2.350,1.008,1.008
2.355,1.008,1.008
2.360,1.008,1.008
2.365,1.008,1.008
2.370,1.008,1.008
2.375,1.008,1.008
2.380,1.008,1.008
2.385,1.008,1.008
2.390,1.008,1.008
2.395,1.008,1.008
2.400,1.008,1.008
2.405,1.008,1.008
2.410,1.008,1.008
2.415,1.008,1.008
2.420,1.008,1.008
2.425,1.008,1.008
2.430,1.008,1.008
2.435,1.008,1.008
2.440,1.008,1.008
2.445,1.008,1.008
2.450,1.008,1.008
2.455,1.008,1.008
2.460,1.008,1.008
2.465,1.008,1.008
2.470,1.008,1.008
2.475,1.008,1.008
2.480,1.008,1.008
2.485,1.008,1.008
2.490,1.008,1.008
2.495,1.008,1.008
2.500,1.008,1.008
2.505,1.008,1.008
