Vbat ,VDDD (temp=-4.00e+01) (V),VDDD (temp=2.50e+01) (V),VDDD (temp=8.50e+01) (V)
1.600,112.7E-3,-342.2E-3,106.9E-3
1.650,144.5E-3,-328.1E-3,138.7E-3
1.700,179.1E-3,-318.9E-3,172.5E-3
1.750,215.0E-3,-315.0E-3,207.4E-3
1.800,251.6E-3,-318.8E-3,242.8E-3
1.850,288.8E-3,1.007,276.9E-3
1.900,326.4E-3,1.007,284.5E-3
1.950,364.4E-3,1.007,285.4E-3
2.000,402.6E-3,1.007,286.0E-3
2.050,441.2E-3,1.007,1.018
2.100,479.9E-3,1.008,1.018
2.150,518.6E-3,1.008,1.018
2.200,555.5E-3,1.008,1.018
2.250,563.2E-3,1.008,1.018
2.300,563.5E-3,1.008,1.018
2.350,563.6E-3,1.008,1.018
2.400,563.6E-3,1.008,1.018
2.450,563.6E-3,1.008,1.018
2.500,563.6E-3,1.008,1.018
2.550,563.7E-3,1.008,1.018
2.600,997.4E-3,1.008,1.018
2.650,997.4E-3,1.008,1.018
2.700,997.4E-3,1.008,1.017
2.750,997.4E-3,1.008,1.017
2.800,997.4E-3,1.008,1.015
2.850,997.4E-3,1.008,1.013
2.900,997.5E-3,1.008,1.010
2.950,997.6E-3,1.008,1.004
3.000,997.7E-3,1.008,994.9E-3
3.050,998.0E-3,1.008,975.0E-3
3.100,998.5E-3,1.008,848.2E-3
3.150,999.5E-3,1.009,899.5E-3
3.200,1.002,1.011,950.9E-3
