in00 (subrange from 0 to 2e-06) X,in00 (subrange from 0 to 2e-06) Y,in01 (subrange from 0 to 2e-06) X,in01 (subrange from 0 to 2e-06) Y,in10 (subrange from 0 to 2e-06) X,in10 (subrange from 0 to 2e-06) Y,in11 (subrange from 0 to 2e-06) X,in11 (subrange from 0 to 2e-06) Y,s1 (subrange from 0 to 2e-06) X,s1 (subrange from 0 to 2e-06) Y,s0 (subrange from 0 to 2e-06) X,s0 (subrange from 0 to 2e-06) Y,out (subrange from 0 to 2e-06) X,out (subrange from 0 to 2e-06) Y
0,0,0,0.33,0,1,0,0.66,0,0,0,0,0,4.884124674208218e-07
6.25e-12,0,6.25e-12,0.33,6.25e-12,1,6.25e-12,0.66,6.25e-12,0.0625,6.25e-12,0,6.25e-12,3.586276333182751e-06
1.31693314400723e-11,0,1.31693314400723e-11,0.33,1.31693314400723e-11,1,1.31693314400723e-11,0.66,1.31693314400723e-11,0.131693314400723,1.31693314400723e-11,0,1.31693314400723e-11,6.805600972760619e-06
2.70079943202169e-11,0,2.70079943202169e-11,0.33,2.70079943202169e-11,1,2.70079943202169e-11,0.66,2.70079943202169e-11,0.270079943202169,2.70079943202169e-11,0,2.70079943202169e-11,1.094838577755331e-05
3.745708437875316e-11,0,3.745708437875316e-11,0.33,3.745708437875316e-11,1,3.745708437875316e-11,0.66,3.745708437875316e-11,0.3745708437875316,3.745708437875316e-11,0,3.745708437875316e-11,7.62840636338232e-06
4.784897492806833e-11,0,4.784897492806833e-11,0.33,4.784897492806833e-11,1,4.784897492806833e-11,0.66,4.784897492806833e-11,0.4784897492806833,4.784897492806833e-11,0,4.784897492806833e-11,-8.991097958216809e-06
5.691339117117239e-11,0,5.691339117117239e-11,0.33,5.691339117117239e-11,1,5.691339117117239e-11,0.66,5.691339117117239e-11,0.5691339117117239,5.691339117117239e-11,0,5.691339117117239e-11,-4.02235018777133e-05
6.664948476178044e-11,0,6.664948476178044e-11,0.33,6.664948476178044e-11,1,6.664948476178044e-11,0.66,6.664948476178044e-11,0.6664948476178044,6.664948476178044e-11,0,6.664948476178044e-11,-8.981201594301418e-05
7.057952189279514e-11,0,7.057952189279514e-11,0.33,7.057952189279514e-11,1,7.057952189279514e-11,0.66,7.057952189279514e-11,0.7057952189279514,7.057952189279514e-11,0,7.057952189279514e-11,-0.000112518138537117
7.443331751108175e-11,0,7.443331751108175e-11,0.33,7.443331751108175e-11,1,7.443331751108175e-11,0.66,7.443331751108175e-11,0.7443331751108175,7.443331751108175e-11,0,7.443331751108175e-11,-0.0001345233717091846
