time (s),in (V),out (V),phi1 (V),phi2 (V),I1.nphi22 (V),I1.nphi21 (V),I1.nphi20 (V),I1.phi22 (V),I1.phi21 (V),I1.phi20 (V),I1.nphi1 (V),I1.a2 (V),I1.a1 (V),I1.a0 (V),I1.a (V),I1.bb (V)
0.000,100.0E-3,927.5E-6,0.000,0.000,1.250,1.250,1.250,852.7E-9,852.7E-9,852.7E-9,1.250,41.93E-3,41.93E-3,41.93E-3,41.93E-3,927.2E-6
52.50E-12,100.0E-3,927.7E-6,525.0E-6,0.000,1.250,1.250,1.250,853.3E-9,853.3E-9,853.3E-9,1.250,41.93E-3,41.93E-3,41.93E-3,41.93E-3,927.5E-6
98.51E-12,100.0E-3,928.0E-6,985.1E-6,0.000,1.250,1.250,1.250,853.8E-9,853.8E-9,853.8E-9,1.250,41.93E-3,41.93E-3,41.93E-3,41.93E-3,927.8E-6
190.5E-12,100.0E-3,928.4E-6,1.905E-3,0.000,1.250,1.250,1.250,854.6E-9,854.7E-9,854.8E-9,1.250,41.93E-3,41.93E-3,41.93E-3,41.93E-3,928.3E-6
374.6E-12,100.0E-3,929.1E-6,3.746E-3,0.000,1.250,1.250,1.250,856.1E-9,856.2E-9,856.3E-9,1.250,41.93E-3,41.93E-3,41.93E-3,41.93E-3,929.3E-6
732.5E-12,100.0E-3,930.2E-6,7.325E-3,0.000,1.250,1.250,1.250,858.3E-9,858.5E-9,858.7E-9,1.251,41.94E-3,41.94E-3,41.94E-3,41.94E-3,930.9E-6
1.139E-9,100.0E-3,931.2E-6,11.39E-3,0.000,1.250,1.250,1.250,860.3E-9,860.5E-9,860.9E-9,1.251,41.94E-3,41.94E-3,41.94E-3,41.94E-3,932.6E-6
1.535E-9,100.0E-3,931.9E-6,15.35E-3,0.000,1.250,1.250,1.250,861.8E-9,862.1E-9,862.6E-9,1.251,41.94E-3,41.94E-3,41.94E-3,41.94E-3,934.1E-6
1.956E-9,100.0E-3,932.6E-6,19.56E-3,0.000,1.250,1.250,1.250,863.1E-9,863.4E-9,864.1E-9,1.251,41.94E-3,41.94E-3,41.94E-3,41.94E-3,935.5E-6
2.409E-9,100.0E-3,933.2E-6,24.09E-3,0.000,1.250,1.250,1.250,864.3E-9,864.7E-9,865.5E-9,1.251,41.94E-3,41.94E-3,41.94E-3,41.94E-3,937.0E-6
2.906E-9,100.0E-3,933.7E-6,29.06E-3,0.000,1.250,1.250,1.250,865.3E-9,865.8E-9,866.7E-9,1.251,41.94E-3,41.94E-3,41.95E-3,41.95E-3,938.6E-6
3.465E-9,100.0E-3,934.3E-6,34.65E-3,0.000,1.250,1.250,1.250,866.3E-9,866.8E-9,867.9E-9,1.252,41.95E-3,41.95E-3,41.95E-3,41.95E-3,940.4E-6
4.099E-9,100.0E-3,934.8E-6,40.99E-3,0.000,1.250,1.250,1.250,867.3E-9,867.9E-9,869.0E-9,1.252,41.95E-3,41.95E-3,41.95E-3,41.95E-3,942.4E-6
4.831E-9,100.0E-3,935.3E-6,48.31E-3,0.000,1.250,1.250,1.250,868.3E-9,869.0E-9,870.3E-9,1.252,41.95E-3,41.95E-3,41.95E-3,41.95E-3,944.7E-6
5.691E-9,100.0E-3,935.9E-6,56.91E-3,0.000,1.250,1.250,1.250,869.5E-9,870.3E-9,871.8E-9,1.252,41.95E-3,41.95E-3,41.96E-3,41.96E-3,947.6E-6
6.726E-9,100.0E-3,936.8E-6,67.26E-3,0.000,1.250,1.250,1.250,871.1E-9,872.0E-9,873.7E-9,1.252,41.96E-3,41.96E-3,41.96E-3,41.96E-3,951.4E-6
8.019E-9,100.0E-3,938.0E-6,80.19E-3,0.000,1.250,1.250,1.250,873.6E-9,874.7E-9,876.7E-9,1.252,41.96E-3,41.96E-3,41.97E-3,41.97E-3,956.9E-6
9.728E-9,100.0E-3,940.2E-6,97.28E-3,0.000,1.250,1.250,1.250,878.3E-9,879.6E-9,882.2E-9,1.252,41.97E-3,41.97E-3,41.98E-3,41.98E-3,965.9E-6
10.12E-9,100.0E-3,940.8E-6,101.2E-3,0.000,1.250,1.250,1.250,879.6E-9,881.0E-9,883.7E-9,1.252,41.98E-3,41.98E-3,41.98E-3,41.98E-3,968.3E-6
10.90E-9,100.0E-3,942.2E-6,109.0E-3,0.000,1.250,1.250,1.250,882.7E-9,884.2E-9,887.3E-9,1.252,41.98E-3,41.98E-3,41.99E-3,41.99E-3,973.7E-6
12.46E-9,100.0E-3,946.0E-6,124.6E-3,0.000,1.250,1.250,1.250,891.1E-9,893.1E-9,897.1E-9,1.253,41.99E-3,42.00E-3,42.00E-3,42.00E-3,987.1E-6
12.85E-9,100.0E-3,947.2E-6,128.5E-3,0.000,1.250,1.250,1.250,893.8E-9,895.9E-9,900.1E-9,1.253,42.00E-3,42.00E-3,42.01E-3,42.01E-3,991.1E-6
13.64E-9,100.0E-3,949.9E-6,136.4E-3,0.000,1.250,1.250,1.250,899.9E-9,902.3E-9,907.2E-9,1.253,42.01E-3,42.01E-3,42.02E-3,42.02E-3,1.000E-3
15.20E-9,100.0E-3,957.2E-6,152.0E-3,0.000,1.250,1.250,1.250,916.5E-9,919.9E-9,926.5E-9,1.253,42.03E-3,42.04E-3,42.05E-3,42.05E-3,1.024E-3
15.59E-9,100.0E-3,959.5E-6,155.9E-3,0.000,1.250,1.250,1.250,921.8E-9,925.3E-9,932.5E-9,1.253,42.04E-3,42.05E-3,42.06E-3,42.06E-3,1.031E-3
16.37E-9,100.0E-3,964.7E-6,163.7E-3,0.000,1.250,1.250,1.250,933.9E-9,938.1E-9,946.5E-9,1.253,42.06E-3,42.06E-3,42.08E-3,42.08E-3,1.047E-3
17.93E-9,100.0E-3,979.0E-6,179.3E-3,0.000,1.250,1.250,1.250,966.7E-9,972.6E-9,984.4E-9,1.253,42.10E-3,42.11E-3,42.13E-3,42.13E-3,1.091E-3
18.27E-9,100.0E-3,982.8E-6,182.7E-3,0.000,1.250,1.250,1.250,975.4E-9,981.7E-9,994.4E-9,1.253,42.12E-3,42.13E-3,42.14E-3,42.15E-3,1.103E-3
18.94E-9,100.0E-3,991.3E-6,189.4E-3,0.000,1.250,1.250,1.250,995.1E-9,1.002E-6,1.017E-6,1.253,42.14E-3,42.15E-3,42.18E-3,42.18E-3,1.128E-3
20.27E-9,100.0E-3,1.013E-3,202.7E-3,0.000,1.250,1.250,1.250,1.046E-6,1.056E-6,1.076E-6,1.253,42.21E-3,42.23E-3,42.26E-3,42.26E-3,1.194E-3
20.54E-9,100.0E-3,1.019E-3,205.4E-3,0.000,1.250,1.250,1.250,1.058E-6,1.069E-6,1.090E-6,1.253,42.23E-3,42.25E-3,42.28E-3,42.28E-3,1.210E-3
21.09E-9,100.0E-3,1.030E-3,210.9E-3,0.000,1.250,1.250,1.250,1.086E-6,1.098E-6,1.122E-6,1.253,42.27E-3,42.28E-3,42.32E-3,42.32E-3,1.245E-3
22.18E-9,100.0E-3,1.060E-3,221.8E-3,0.000,1.250,1.250,1.250,1.153E-6,1.169E-6,1.200E-6,1.253,42.36E-3,42.38E-3,42.42E-3,42.42E-3,1.331E-3
24.05E-9,100.0E-3,1.131E-3,240.5E-3,0.000,1.250,1.250,1.250,1.318E-6,1.342E-6,1.391E-6,1.253,42.58E-3,42.62E-3,42.68E-3,42.68E-3,1.544E-3
25.83E-9,100.0E-3,1.234E-3,258.3E-3,0.000,1.250,1.250,1.250,1.557E-6,1.594E-6,1.667E-6,1.253,42.91E-3,42.96E-3,43.06E-3,43.06E-3,1.854E-3
27.43E-9,100.0E-3,1.368E-3,274.3E-3,0.000,1.250,1.250,1.250,1.863E-6,1.916E-6,2.021E-6,1.253,43.33E-3,43.41E-3,43.55E-3,43.55E-3,2.256E-3
28.89E-9,100.0E-3,1.535E-3,288.9E-3,0.000,1.250,1.250,1.250,2.246E-6,2.319E-6,2.464E-6,1.253,43.87E-3,43.97E-3,44.17E-3,44.17E-3,2.765E-3
30.23E-9,100.0E-3,1.738E-3,302.3E-3,0.000,1.250,1.250,1.250,2.708E-6,2.805E-6,2.999E-6,1.253,44.53E-3,44.67E-3,44.93E-3,44.94E-3,3.387E-3
31.49E-9,100.0E-3,1.983E-3,314.9E-3,0.000,1.250,1.250,1.250,3.258E-6,3.385E-6,3.636E-6,1.254,45.33E-3,45.51E-3,45.86E-3,45.86E-3,4.142E-3
32.71E-9,100.0E-3,2.277E-3,327.1E-3,0.000,1.250,1.250,1.250,3.914E-6,4.077E-6,4.397E-6,1.254,46.30E-3,46.53E-3,46.99E-3,46.99E-3,5.063E-3
33.92E-9,100.0E-3,2.634E-3,339.2E-3,0.000,1.250,1.250,1.250,4.698E-6,4.904E-6,5.307E-6,1.254,47.50E-3,47.79E-3,48.37E-3,48.38E-3,6.192E-3
35.15E-9,100.0E-3,3.069E-3,351.5E-3,0.000,1.250,1.250,1.250,5.638E-6,5.897E-6,6.399E-6,1.254,48.98E-3,49.36E-3,50.10E-3,50.10E-3,7.593E-3
36.44E-9,100.0E-3,3.609E-3,364.4E-3,0.000,1.250,1.250,1.250,6.779E-6,7.102E-6,7.727E-6,1.254,50.87E-3,51.35E-3,52.29E-3,52.29E-3,9.370E-3
37.88E-9,100.0E-3,4.305E-3,378.8E-3,0.000,1.250,1.250,1.250,8.201E-6,8.608E-6,9.385E-6,1.254,53.37E-3,53.99E-3,55.20E-3,55.20E-3,11.72E-3
39.69E-9,100.0E-3,5.308E-3,396.9E-3,0.000,1.250,1.250,1.250,10.14E-6,10.67E-6,11.65E-6,1.254,57.13E-3,57.97E-3,59.59E-3,59.59E-3,15.25E-3
41.68E-9,100.0E-3,6.519E-3,416.8E-3,0.000,1.250,1.250,1.250,12.26E-6,12.93E-6,14.14E-6,1.255,61.96E-3,63.10E-3,65.24E-3,65.24E-3,19.76E-3
43.23E-9,100.0E-3,7.472E-3,432.3E-3,0.000,1.250,1.250,1.250,13.71E-6,14.49E-6,15.86E-6,1.256,66.04E-3,67.45E-3,70.04E-3,70.04E-3,23.55E-3
44.49E-9,100.0E-3,8.210E-3,444.9E-3,0.000,1.250,1.250,1.250,14.64E-6,15.49E-6,16.96E-6,1.256,69.46E-3,71.10E-3,74.06E-3,74.06E-3,26.71E-3
45.65E-9,100.0E-3,8.822E-3,456.5E-3,0.000,1.250,1.250,1.250,15.19E-6,16.11E-6,17.64E-6,1.257,72.55E-3,74.40E-3,77.71E-3,77.71E-3,29.54E-3
46.75E-9,100.0E-3,9.331E-3,467.5E-3,0.000,1.250,1.250,1.250,15.42E-6,16.39E-6,17.93E-6,1.257,75.39E-3,77.46E-3,81.08E-3,81.08E-3,32.12E-3
47.84E-9,100.0E-3,9.745E-3,478.4E-3,0.000,1.250,1.250,1.250,15.33E-6,16.33E-6,17.85E-6,1.258,78.00E-3,80.28E-3,84.18E-3,84.18E-3,34.45E-3
48.96E-9,100.0E-3,10.08E-3,489.6E-3,0.000,1.250,1.250,1.250,14.91E-6,15.93E-6,17.39E-6,1.258,80.42E-3,82.91E-3,87.06E-3,87.06E-3,36.58E-3
50.16E-9,100.0E-3,10.34E-3,501.6E-3,0.000,1.250,1.250,1.250,14.12E-6,15.14E-6,16.49E-6,1.259,82.69E-3,85.39E-3,89.76E-3,89.76E-3,38.53E-3
51.55E-9,100.0E-3,10.54E-3,515.5E-3,0.000,1.250,1.250,1.250,12.89E-6,13.89E-6,15.04E-6,1.259,84.83E-3,87.77E-3,92.32E-3,92.32E-3,40.29E-3
53.12E-9,100.0E-3,10.69E-3,531.2E-3,0.000,1.250,1.250,1.250,11.23E-6,12.19E-6,13.06E-6,1.259,86.71E-3,89.89E-3,94.52E-3,94.52E-3,41.71E-3
54.54E-9,100.0E-3,10.81E-3,545.4E-3,0.000,1.250,1.250,1.250,9.646E-6,10.56E-6,11.14E-6,1.259,87.97E-3,91.34E-3,95.97E-3,95.97E-3,42.54E-3
55.91E-9,100.0E-3,10.94E-3,559.1E-3,0.000,1.250,1.250,1.250,8.183E-6,9.030E-6,9.319E-6,1.259,88.87E-3,92.42E-3,96.95E-3,96.95E-3,43.00E-3
56.71E-9,100.0E-3,11.04E-3,567.1E-3,0.000,1.250,1.250,1.250,7.389E-6,8.194E-6,8.311E-6,1.258,89.30E-3,92.93E-3,97.37E-3,97.37E-3,43.15E-3
57.33E-9,100.0E-3,11.12E-3,573.3E-3,0.000,1.250,1.250,1.250,6.822E-6,7.593E-6,7.579E-6,1.258,89.58E-3,93.27E-3,97.64E-3,97.64E-3,43.21E-3
57.86E-9,100.0E-3,11.21E-3,578.6E-3,0.000,1.250,1.250,1.250,6.374E-6,7.115E-6,6.993E-6,1.257,89.80E-3,93.54E-3,97.83E-3,97.83E-3,43.24E-3
58.92E-9,100.0E-3,11.39E-3,589.2E-3,0.000,1.250,1.250,1.250,5.573E-6,6.251E-6,5.929E-6,1.256,90.19E-3,94.02E-3,98.13E-3,98.13E-3,43.23E-3
60.42E-9,100.0E-3,11.70E-3,604.2E-3,0.000,1.250,1.250,1.250,4.640E-6,5.226E-6,4.657E-6,1.255,90.66E-3,94.60E-3,98.43E-3,98.43E-3,43.11E-3
61.93E-9,100.0E-3,12.03E-3,619.3E-3,0.000,1.250,1.250,1.250,3.912E-6,4.399E-6,3.634E-6,1.252,91.07E-3,95.08E-3,98.61E-3,98.61E-3,42.88E-3
63.73E-9,100.0E-3,12.43E-3,637.3E-3,0.000,1.250,1.250,1.250,3.276E-6,3.641E-6,2.718E-6,1.249,91.50E-3,95.56E-3,98.72E-3,98.72E-3,42.50E-3
65.84E-9,100.0E-3,12.88E-3,658.4E-3,0.000,1.250,1.250,1.250,2.761E-6,2.979E-6,1.968E-6,1.244,91.96E-3,96.03E-3,98.78E-3,98.78E-3,41.96E-3
67.57E-9,100.0E-3,13.22E-3,675.7E-3,0.000,1.250,1.250,1.250,2.476E-6,2.578E-6,1.565E-6,1.239,92.30E-3,96.34E-3,98.80E-3,98.80E-3,41.45E-3
69.15E-9,100.0E-3,13.48E-3,691.5E-3,0.000,1.250,1.250,1.250,2.286E-6,2.288E-6,1.316E-6,1.234,92.60E-3,96.58E-3,98.80E-3,98.80E-3,40.94E-3
70.64E-9,100.0E-3,13.70E-3,706.4E-3,0.000,1.250,1.250,1.250,2.151E-6,2.066E-6,1.160E-6,1.228,92.86E-3,96.78E-3,98.80E-3,98.80E-3,40.43E-3
72.57E-9,100.0E-3,13.92E-3,725.7E-3,0.000,1.250,1.250,1.250,2.011E-6,1.829E-6,1.031E-6,1.219,93.17E-3,96.99E-3,98.80E-3,98.80E-3,39.73E-3
